,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
IL-05593575,18.0,21.0,32.0,27.0,23.0,33.0,26.0,25.0,25.0,21.0,23.0,24.0,29.0,19.0,38.0,22.0,22.0,27.0,27.0,31.0,28.0,30.0,28.0,20.0,26.0,26.0,25.0,32.0,19.0,26.0,34.0,26.0,27.0,23.0,22.0,28.0,27.0,21.0,19.0,32.0
IL-05593900,18.0,22.0,35.0,33.0,27.0,32.0,28.0,20.0,21.0,18.0,16.0,22.0,24.0,20.0,35.0,20.0,26.0,25.0,24.0,34.0,19.0,25.0,25.0,23.0,24.0,24.0,13.0,23.0,19.0,34.0,39.0,33.0,35.0,20.0,22.0,33.0,28.0,30.0,21.0,29.0
IL-05595730,,23.0,36.0,30.0,24.0,35.0,22.0,19.0,22.0,22.0,20.0,30.0,25.0,22.0,38.0,23.0,21.0,24.0,24.0,25.0,26.0,27.0,22.0,23.0,26.0,25.0,24.0,35.0,17.0,33.0,39.0,25.0,31.0,26.0,25.0,34.0,32.0,29.0,17.0,34.0
IN-03291780,36.0,34.0,32.0,36.0,27.0,36.0,26.0,26.0,24.0,25.0,37.0,41.0,30.0,31.0,35.0,30.0,30.0,32.0,29.0,24.0,22.0,34.0,33.0,31.0,39.0,34.0,26.0,40.0,25.0,23.0,39.0,26.0,34.0,26.0,30.0,29.0,31.0,37.0,35.0,29.0
IN-03340800,27.0,17.0,28.0,30.0,27.0,30.0,16.0,34.0,28.0,23.0,28.0,32.0,20.0,23.0,36.0,19.0,17.0,28.0,20.0,25.0,18.0,25.0,21.0,27.0,27.0,24.0,22.0,41.0,19.0,28.0,29.0,31.0,23.0,25.0,20.0,22.0,28.0,31.0,27.0,27.0
IN-03357350,34.0,33.0,31.0,39.0,34.0,28.0,23.0,38.0,28.0,15.0,31.0,36.0,25.0,27.0,42.0,19.0,29.0,29.0,21.0,28.0,22.0,33.0,27.0,25.0,35.0,29.0,23.0,35.0,20.0,31.0,34.0,19.0,26.0,23.0,21.0,24.0,28.0,33.0,22.0,28.0
IN-03364500,29.0,31.0,27.0,27.0,26.0,35.0,24.0,24.0,21.0,17.0,33.0,32.0,26.0,31.0,34.0,23.0,30.0,32.0,25.0,27.0,23.0,31.0,28.0,26.0,35.0,26.0,25.0,38.0,23.0,28.0,38.0,26.0,30.0,18.0,21.0,28.0,32.0,34.0,32.0,31.0
IN-03366500,34.0,28.0,30.0,38.0,27.0,33.0,22.0,23.0,26.0,19.0,36.0,36.0,23.0,28.0,33.0,26.0,33.0,33.0,25.0,31.0,23.0,30.0,31.0,31.0,40.0,31.0,25.0,36.0,26.0,27.0,39.0,25.0,30.0,28.0,27.0,28.0,29.0,39.0,33.0,35.0
IN-03368000,35.0,32.0,31.0,37.0,28.0,43.0,27.0,32.0,28.0,22.0,35.0,38.0,25.0,34.0,33.0,28.0,36.0,31.0,31.0,27.0,24.0,32.0,33.0,30.0,36.0,34.0,28.0,43.0,26.0,26.0,36.0,24.0,34.0,24.0,32.0,28.0,32.0,37.0,34.0,36.0
KS-06814000,23.0,15.0,17.0,27.0,24.0,28.0,31.0,27.0,25.0,22.0,8.0,18.0,27.0,26.0,29.0,24.0,19.0,28.0,28.0,29.0,18.0,20.0,25.0,20.0,20.0,17.0,19.0,25.0,28.0,29.0,22.0,26.0,29.0,21.0,18.0,24.0,29.0,22.0,17.0,18.0
KS-06846500,3.0,4.0,7.0,16.0,12.0,7.0,11.0,20.0,8.0,9.0,6.0,6.0,0.0,2.0,19.0,21.0,18.0,16.0,15.0,18.0,16.0,22.0,8.0,2.0,3.0,5.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,0.0,8.0,3.0,2.0,2.0,5.0,5.0
KS-06847900,20.0,24.0,11.0,11.0,17.0,19.0,16.0,21.0,16.0,12.0,20.0,22.0,14.0,10.0,16.0,19.0,16.0,12.0,23.0,13.0,14.0,24.0,15.0,23.0,25.0,21.0,19.0,30.0,17.0,9.0,19.0,8.0,17.0,17.0,19.0,19.0,23.0,12.0,16.0,23.0
KS-06853800,21.0,13.0,15.0,20.0,17.0,19.0,18.0,19.0,14.0,11.0,12.0,18.0,20.0,13.0,22.0,18.0,15.0,21.0,21.0,18.0,12.0,16.0,15.0,14.0,18.0,13.0,11.0,17.0,14.0,15.0,18.0,18.0,9.0,11.0,17.0,13.0,16.0,18.0,11.0,16.0
KS-06876700,22.0,7.0,21.0,18.0,17.0,18.0,17.0,21.0,14.0,15.0,12.0,15.0,11.0,17.0,18.0,16.0,10.0,14.0,22.0,19.0,12.0,11.0,14.0,17.0,7.0,12.0,15.0,23.0,19.0,24.0,18.0,18.0,8.0,12.0,18.0,18.0,23.0,18.0,9.0,12.0
KS-06878000,20.0,13.0,17.0,21.0,18.0,24.0,13.0,26.0,23.0,14.0,13.0,13.0,20.0,21.0,29.0,16.0,17.0,19.0,22.0,26.0,19.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0,18.0,20.0,21.0,21.0,17.0,12.0,15.0,20.0,17.0,22.0,19.0,12.0
KS-06879650,,12.0,28.0,18.0,19.0,19.0,17.0,17.0,10.0,20.0,17.0,18.0,17.0,12.0,21.0,9.0,16.0,18.0,12.0,13.0,15.0,28.0,14.0,10.0,14.0,18.0,6.0,14.0,14.0,23.0,16.0,18.0,11.0,19.0,3.0,9.0,15.0,6.0,10.0,12.0
KS-06885500,24.0,11.0,22.0,33.0,23.0,22.0,28.0,28.0,27.0,20.0,14.0,20.0,18.0,28.0,27.0,23.0,20.0,21.0,26.0,27.0,24.0,20.0,21.0,22.0,19.0,22.0,17.0,21.0,23.0,33.0,27.0,27.0,17.0,18.0,17.0,25.0,24.0,19.0,14.0,11.0
KS-06888500,24.0,9.0,19.0,21.0,20.0,27.0,24.0,23.0,18.0,17.0,7.0,19.0,15.0,25.0,31.0,15.0,17.0,15.0,17.0,23.0,15.0,16.0,25.0,19.0,16.0,22.0,22.0,12.0,26.0,26.0,25.0,27.0,18.0,10.0,22.0,13.0,22.0,13.0,17.0,9.0
KS-06889200,26.0,15.0,21.0,27.0,23.0,25.0,30.0,29.0,20.0,16.0,11.0,29.0,18.0,28.0,33.0,22.0,22.0,22.0,22.0,29.0,19.0,18.0,29.0,18.0,14.0,24.0,16.0,21.0,27.0,32.0,28.0,29.0,20.0,18.0,18.0,24.0,21.0,21.0,18.0,10.0
KS-06889500,27.0,15.0,23.0,31.0,25.0,24.0,32.0,29.0,19.0,20.0,13.0,23.0,17.0,28.0,28.0,24.0,24.0,22.0,19.0,25.0,19.0,17.0,24.0,18.0,12.0,25.0,18.0,18.0,28.0,32.0,33.0,30.0,23.0,18.0,18.0,22.0,25.0,20.0,17.0,11.0
KS-06892000,28.0,20.0,24.0,28.0,23.0,25.0,25.0,24.0,21.0,17.0,13.0,21.0,20.0,25.0,30.0,21.0,16.0,26.0,22.0,26.0,20.0,23.0,26.0,14.0,21.0,30.0,23.0,17.0,20.0,31.0,26.0,30.0,23.0,18.0,22.0,25.0,25.0,18.0,21.0,16.0
KS-06910800,23.0,9.0,22.0,21.0,24.0,26.0,29.0,26.0,27.0,12.0,15.0,20.0,16.0,25.0,33.0,16.0,18.0,19.0,26.0,24.0,23.0,15.0,24.0,16.0,16.0,24.0,21.0,14.0,22.0,27.0,29.0,25.0,15.0,12.0,20.0,13.0,16.0,22.0,17.0,9.0
KS-06911900,24.0,8.0,23.0,21.0,25.0,28.0,28.0,28.0,25.0,13.0,11.0,20.0,18.0,26.0,30.0,21.0,16.0,20.0,21.0,24.0,19.0,19.0,26.0,19.0,17.0,28.0,25.0,18.0,26.0,31.0,22.0,25.0,18.0,13.0,19.0,11.0,16.0,20.0,17.0,10.0
KS-06917000,21.0,9.0,23.0,20.0,30.0,25.0,28.0,22.0,25.0,12.0,22.0,28.0,13.0,27.0,30.0,17.0,16.0,19.0,25.0,29.0,25.0,15.0,22.0,12.0,15.0,26.0,16.0,13.0,14.0,28.0,27.0,28.0,18.0,12.0,24.0,30.0,24.0,19.0,22.0,20.0
KS-07142300,9.0,11.0,20.0,13.0,10.0,11.0,18.0,22.0,14.0,13.0,13.0,9.0,17.0,8.0,11.0,4.0,9.0,13.0,14.0,13.0,8.0,18.0,11.0,14.0,26.0,14.0,24.0,21.0,14.0,11.0,18.0,9.0,14.0,23.0,12.0,32.0,14.0,11.0,11.0,11.0
KS-07144780,19.0,19.0,24.0,21.0,18.0,21.0,21.0,24.0,13.0,16.0,18.0,19.0,12.0,26.0,22.0,17.0,12.0,17.0,17.0,18.0,15.0,16.0,16.0,19.0,15.0,19.0,18.0,23.0,14.0,15.0,17.0,13.0,21.0,22.0,10.0,17.0,18.0,16.0,14.0,16.0
KS-07145700,19.0,17.0,13.0,20.0,18.0,18.0,24.0,23.0,21.0,12.0,18.0,12.0,14.0,23.0,24.0,16.0,20.0,23.0,25.0,20.0,24.0,22.0,15.0,16.0,16.0,28.0,21.0,16.0,23.0,25.0,28.0,19.0,16.0,19.0,20.0,21.0,14.0,20.0,21.0,13.0
KS-07149000,22.0,17.0,27.0,18.0,21.0,27.0,17.0,20.0,20.0,14.0,17.0,16.0,19.0,19.0,18.0,27.0,13.0,22.0,25.0,23.0,22.0,17.0,16.0,16.0,16.0,18.0,18.0,18.0,17.0,24.0,20.0,17.0,20.0,15.0,21.0,,,18.0,19.0,15.0
KS-07151500,17.0,17.0,25.0,17.0,18.0,26.0,21.0,25.0,22.0,17.0,26.0,18.0,21.0,22.0,22.0,20.0,19.0,23.0,27.0,21.0,24.0,25.0,21.0,19.0,14.0,24.0,25.0,19.0,19.0,22.0,28.0,19.0,22.0,17.0,24.0,34.0,20.0,21.0,22.0,17.0
KS-07167500,19.0,15.0,14.0,27.0,24.0,23.0,32.0,20.0,22.0,13.0,17.0,20.0,9.0,27.0,28.0,8.0,18.0,13.0,23.0,17.0,26.0,15.0,15.0,12.0,21.0,25.0,22.0,8.0,17.0,23.0,26.0,25.0,13.0,13.0,15.0,20.0,11.0,17.0,17.0,20.0
KS-07180500,19.0,12.0,23.0,16.0,18.0,20.0,22.0,18.0,18.0,17.0,16.0,22.0,19.0,27.0,23.0,16.0,22.0,23.0,23.0,26.0,23.0,22.0,19.0,16.0,17.0,19.0,15.0,18.0,18.0,25.0,23.0,19.0,24.0,16.0,15.0,15.0,21.0,22.0,16.0,15.0
KS-07184000,18.0,11.0,20.0,22.0,26.0,30.0,31.0,23.0,23.0,21.0,24.0,23.0,11.0,28.0,36.0,19.0,21.0,19.0,29.0,30.0,26.0,19.0,18.0,12.0,19.0,25.0,22.0,11.0,23.0,27.0,21.0,22.0,21.0,12.0,24.0,15.0,23.0,23.0,25.0,23.0
KY-03213700,35.0,30.0,28.0,34.0,27.0,23.0,28.0,23.0,20.0,22.0,29.0,32.0,30.0,30.0,28.0,23.0,23.0,29.0,22.0,27.0,29.0,27.0,25.0,32.0,26.0,31.0,25.0,31.0,20.0,25.0,31.0,20.0,31.0,28.0,30.0,27.0,26.0,26.0,22.0,32.0
KY-03280700,31.0,28.0,29.0,33.0,23.0,28.0,35.0,33.0,29.0,29.0,38.0,37.0,33.0,44.0,37.0,27.0,29.0,42.0,28.0,34.0,27.0,29.0,35.0,27.0,35.0,35.0,31.0,41.0,27.0,30.0,31.0,29.0,38.0,35.0,34.0,38.0,32.0,38.0,32.0,33.0
KY-03281100,30.0,28.0,26.0,36.0,25.0,29.0,33.0,23.0,25.0,26.0,36.0,34.0,27.0,39.0,37.0,29.0,28.0,35.0,31.0,28.0,23.0,,,26.0,,,,,23.0,24.0,32.0,31.0,33.0,28.0,32.0,35.0,23.0,37.0,41.0,35.0
KY-03281500,27.0,25.0,23.0,35.0,21.0,24.0,28.0,19.0,18.0,22.0,34.0,32.0,27.0,34.0,33.0,27.0,21.0,41.0,33.0,27.0,21.0,28.0,20.0,28.0,30.0,33.0,18.0,29.0,20.0,22.0,32.0,25.0,28.0,26.0,25.0,31.0,23.0,28.0,38.0,31.0
KY-03285000,37.0,24.0,36.0,35.0,26.0,26.0,32.0,23.0,19.0,27.0,30.0,39.0,33.0,36.0,38.0,30.0,27.0,42.0,30.0,27.0,23.0,23.0,27.0,27.0,39.0,39.0,21.0,38.0,26.0,24.0,37.0,18.0,33.0,28.0,38.0,28.0,33.0,36.0,43.0,42.0
KY-03300400,37.0,28.0,25.0,26.0,18.0,28.0,32.0,23.0,15.0,21.0,27.0,34.0,27.0,33.0,28.0,24.0,25.0,39.0,23.0,31.0,21.0,21.0,23.0,27.0,38.0,35.0,19.0,34.0,22.0,19.0,39.0,22.0,35.0,27.0,35.0,30.0,28.0,30.0,32.0,41.0
LA-07373000,29.0,27.0,28.0,27.0,32.0,29.0,25.0,23.0,27.0,31.0,19.0,31.0,41.0,32.0,39.0,36.0,27.0,35.0,35.0,24.0,25.0,27.0,28.0,32.0,30.0,37.0,27.0,25.0,30.0,28.0,30.0,26.0,27.0,24.0,27.0,36.0,31.0,29.0,23.0,36.0
LA-07375000,24.0,28.0,22.0,27.0,30.0,24.0,21.0,20.0,30.0,22.0,33.0,26.0,28.0,28.0,28.0,34.0,20.0,23.0,32.0,16.0,17.0,15.0,28.0,28.0,23.0,25.0,25.0,20.0,25.0,23.0,26.0,26.0,15.0,16.0,21.0,25.0,30.0,24.0,35.0,28.0
LA-07376000,18.0,20.0,20.0,21.0,24.0,28.0,18.0,22.0,21.0,,,17.0,21.0,26.0,22.0,26.0,14.0,22.0,25.0,13.0,15.0,15.0,18.0,25.0,17.0,16.0,20.0,17.0,16.0,20.0,17.0,12.0,16.0,24.0,17.0,23.0,22.0,26.0,30.0,20.0
LA-07377000,24.0,26.0,23.0,24.0,31.0,25.0,22.0,28.0,25.0,28.0,30.0,23.0,34.0,26.0,23.0,31.0,25.0,31.0,30.0,20.0,20.0,18.0,24.0,29.0,21.0,30.0,28.0,23.0,20.0,19.0,18.0,16.0,11.0,19.0,22.0,18.0,26.0,29.0,37.0,24.0
LA-08013000,19.0,11.0,12.0,9.0,17.0,16.0,16.0,14.0,15.0,15.0,13.0,17.0,24.0,17.0,13.0,16.0,19.0,21.0,18.0,14.0,10.0,13.0,16.0,16.0,16.0,17.0,12.0,17.0,22.0,17.0,15.0,6.0,8.0,11.0,14.0,23.0,20.0,15.0,15.0,16.0
LA-08014500,29.0,16.0,20.0,20.0,25.0,24.0,21.0,20.0,21.0,20.0,15.0,21.0,32.0,25.0,24.0,25.0,25.0,24.0,21.0,15.0,16.0,15.0,20.0,22.0,22.0,25.0,17.0,22.0,28.0,20.0,21.0,13.0,12.0,16.0,18.0,29.0,22.0,23.0,19.0,28.0
LA-08023080,,,10.0,18.0,18.0,20.0,18.0,15.0,14.0,14.0,18.0,19.0,28.0,27.0,21.0,23.0,16.0,16.0,26.0,21.0,13.0,13.0,21.0,19.0,21.0,29.0,16.0,18.0,22.0,19.0,20.0,16.0,9.0,18.0,19.0,19.0,25.0,13.0,18.0,25.0
LA-08025500,27.0,17.0,26.0,21.0,31.0,28.0,22.0,,,,19.0,23.0,37.0,23.0,25.0,27.0,21.0,28.0,31.0,18.0,19.0,18.0,23.0,17.0,25.0,32.0,23.0,20.0,29.0,24.0,29.0,20.0,16.0,20.0,20.0,22.0,27.0,20.0,26.0,28.0
MA-01162500,26.0,24.0,33.0,30.0,29.0,19.0,28.0,27.0,21.0,20.0,25.0,34.0,27.0,26.0,24.0,25.0,27.0,29.0,26.0,20.0,28.0,29.0,21.0,23.0,27.0,24.0,27.0,29.0,19.0,29.0,29.0,20.0,28.0,25.0,26.0,30.0,26.0,24.0,24.0,33.0
MA-01169000,39.0,29.0,34.0,27.0,36.0,29.0,37.0,35.0,27.0,35.0,33.0,40.0,35.0,45.0,25.0,30.0,33.0,37.0,40.0,29.0,37.0,46.0,22.0,38.0,35.0,37.0,33.0,40.0,36.0,43.0,43.0,28.0,36.0,39.0,34.0,44.0,38.0,33.0,38.0,44.0
MA-01170100,35.0,28.0,36.0,27.0,33.0,27.0,35.0,34.0,27.0,32.0,31.0,36.0,35.0,37.0,25.0,29.0,32.0,39.0,38.0,28.0,29.0,45.0,22.0,41.0,33.0,34.0,31.0,38.0,35.0,43.0,44.0,27.0,39.0,34.0,32.0,44.0,34.0,31.0,37.0,44.0
MA-01181000,36.0,24.0,29.0,26.0,35.0,22.0,36.0,33.0,30.0,32.0,33.0,45.0,37.0,43.0,25.0,33.0,32.0,37.0,41.0,30.0,36.0,43.0,22.0,38.0,37.0,35.0,27.0,41.0,30.0,44.0,46.0,28.0,35.0,37.0,33.0,39.0,34.0,31.0,29.0,47.0
MA-01187300,31.0,27.0,29.0,33.0,37.0,30.0,32.0,31.0,35.0,33.0,33.0,40.0,34.0,39.0,26.0,33.0,33.0,35.0,41.0,33.0,35.0,39.0,20.0,34.0,41.0,36.0,29.0,35.0,32.0,44.0,42.0,25.0,34.0,37.0,33.0,38.0,28.0,25.0,31.0,41.0
MA-01333000,33.0,25.0,36.0,22.0,33.0,25.0,31.0,34.0,24.0,28.0,40.0,38.0,35.0,36.0,18.0,32.0,32.0,37.0,32.0,27.0,33.0,38.0,30.0,37.0,30.0,38.0,24.0,36.0,29.0,35.0,41.0,26.0,30.0,32.0,31.0,34.0,32.0,33.0,34.0,43.0
MB-05LH005,14.0,15.0,28.0,31.0,22.0,15.0,16.0,15.0,11.0,17.0,24.0,27.0,33.0,33.0,27.0,19.0,14.0,7.0,9.0,6.0,14.0,25.0,23.0,34.0,42.0,27.0,13.0,,3.0,11.0,11.0,6.0,3.0,4.0,4.0,3.0,11.0,5.0,4.0,
MB-05TD001,1.0,0.0,2.0,1.0,0.0,3.0,,1.0,0.0,0.0,,,2.0,5.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,,,3.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
MB-05TG002,4.0,7.0,3.0,7.0,4.0,7.0,11.0,10.0,11.0,,,,,4.0,13.0,7.0,7.0,8.0,5.0,,,9.0,8.0,,10.0,,9.0,10.0,8.0,13.0,8.0,10.0,8.0,10.0,7.0,7.0,,9.0,5.0,
MB-05UH002,8.0,13.0,8.0,7.0,5.0,7.0,,8.0,6.0,7.0,,,6.0,3.0,10.0,4.0,7.0,7.0,8.0,6.0,10.0,9.0,7.0,,5.0,,,8.0,10.0,8.0,,8.0,7.0,8.0,9.0,11.0,8.0,10.0,4.0,
MB-06FB002,12.0,12.0,7.0,8.0,6.0,5.0,5.0,7.0,10.0,7.0,7.0,,11.0,2.0,8.0,5.0,4.0,5.0,7.0,5.0,10.0,9.0,6.0,7.0,,7.0,8.0,9.0,7.0,5.0,7.0,8.0,7.0,7.0,2.0,9.0,,7.0,5.0,
MD-01485500,32.0,25.0,34.0,20.0,28.0,24.0,26.0,19.0,21.0,26.0,26.0,27.0,20.0,24.0,22.0,20.0,27.0,30.0,28.0,18.0,26.0,24.0,19.0,25.0,25.0,23.0,21.0,26.0,15.0,22.0,26.0,13.0,24.0,13.0,25.0,18.0,26.0,22.0,27.0,29.0
MD-01486000,33.0,21.0,27.0,24.0,34.0,25.0,26.0,20.0,25.0,20.0,30.0,33.0,27.0,31.0,29.0,17.0,23.0,42.0,28.0,20.0,26.0,29.0,19.0,26.0,36.0,25.0,32.0,27.0,17.0,25.0,34.0,21.0,25.0,24.0,33.0,20.0,25.0,24.0,28.0,35.0
MD-01491000,34.0,32.0,28.0,24.0,32.0,22.0,29.0,16.0,18.0,27.0,29.0,31.0,27.0,19.0,22.0,23.0,26.0,33.0,22.0,18.0,24.0,29.0,20.0,22.0,31.0,27.0,25.0,24.0,21.0,18.0,26.0,19.0,25.0,17.0,29.0,23.0,33.0,27.0,27.0,30.0
MD-01580000,36.0,33.0,38.0,37.0,37.0,33.0,28.0,26.0,30.0,32.0,33.0,36.0,32.0,39.0,31.0,39.0,33.0,41.0,28.0,28.0,39.0,31.0,27.0,38.0,43.0,37.0,29.0,31.0,28.0,40.0,34.0,27.0,38.0,28.0,33.0,36.0,36.0,37.0,39.0,37.0
MD-01583500,31.0,31.0,40.0,32.0,35.0,36.0,28.0,24.0,31.0,35.0,34.0,34.0,32.0,37.0,34.0,35.0,32.0,39.0,27.0,29.0,37.0,35.0,30.0,39.0,42.0,34.0,32.0,31.0,28.0,38.0,36.0,27.0,31.0,27.0,32.0,30.0,32.0,30.0,35.0,37.0
MD-01586610,,,,,34.0,35.0,32.0,31.0,36.0,37.0,35.0,42.0,31.0,38.0,33.0,39.0,30.0,42.0,34.0,27.0,41.0,38.0,30.0,37.0,40.0,36.0,32.0,32.0,24.0,33.0,36.0,27.0,35.0,27.0,29.0,39.0,30.0,32.0,36.0,37.0
MD-01591400,32.0,38.0,35.0,36.0,31.0,33.0,26.0,34.0,32.0,34.0,36.0,42.0,29.0,34.0,34.0,36.0,34.0,42.0,28.0,29.0,36.0,38.0,27.0,36.0,44.0,34.0,29.0,33.0,27.0,34.0,38.0,32.0,39.0,25.0,34.0,35.0,26.0,32.0,33.0,44.0
MD-01594950,,,,,,,,,41.0,30.0,50.0,36.0,26.0,42.0,28.0,38.0,32.0,43.0,37.0,30.0,30.0,37.0,29.0,42.0,40.0,35.0,33.0,35.0,34.0,32.0,34.0,26.0,37.0,34.0,37.0,32.0,35.0,32.0,38.0,46.0
MD-01596500,34.0,28.0,29.0,24.0,25.0,27.0,19.0,23.0,26.0,25.0,32.0,26.0,18.0,28.0,27.0,23.0,29.0,33.0,23.0,20.0,25.0,26.0,25.0,33.0,26.0,31.0,21.0,23.0,24.0,28.0,28.0,21.0,30.0,26.0,29.0,22.0,24.0,29.0,30.0,38.0
MD-01639500,31.0,33.0,36.0,36.0,34.0,38.0,36.0,25.0,37.0,33.0,36.0,40.0,32.0,35.0,32.0,33.0,37.0,42.0,30.0,30.0,40.0,37.0,25.0,33.0,45.0,38.0,36.0,35.0,29.0,35.0,36.0,33.0,36.0,33.0,33.0,40.0,38.0,30.0,36.0,40.0
MD-03076600,33.0,32.0,28.0,30.0,30.0,33.0,22.0,29.0,27.0,24.0,33.0,26.0,26.0,30.0,30.0,30.0,24.0,31.0,32.0,26.0,24.0,31.0,29.0,30.0,29.0,23.0,26.0,27.0,28.0,28.0,26.0,23.0,33.0,30.0,29.0,25.0,27.0,34.0,29.0,38.0
MD-03078000,40.0,33.0,34.0,41.0,36.0,41.0,28.0,34.0,36.0,29.0,48.0,42.0,29.0,38.0,40.0,39.0,43.0,46.0,40.0,35.0,34.0,38.0,33.0,41.0,42.0,40.0,29.0,32.0,28.0,39.0,35.0,27.0,39.0,39.0,33.0,32.0,36.0,39.0,42.0,52.0
ME-01013500,8.0,8.0,8.0,5.0,6.0,7.0,6.0,9.0,6.0,7.0,6.0,9.0,6.0,7.0,7.0,8.0,4.0,9.0,7.0,5.0,8.0,7.0,6.0,6.0,7.0,9.0,10.0,11.0,8.0,7.0,7.0,11.0,9.0,9.0,4.0,7.0,7.0,8.0,8.0,6.0
ME-01022500,28.0,24.0,27.0,22.0,29.0,21.0,26.0,23.0,15.0,24.0,16.0,33.0,28.0,28.0,20.0,25.0,28.0,30.0,28.0,22.0,27.0,20.0,17.0,22.0,23.0,27.0,21.0,26.0,22.0,22.0,33.0,22.0,30.0,25.0,23.0,28.0,24.0,24.0,24.0,22.0
ME-01030500,18.0,15.0,17.0,14.0,19.0,12.0,21.0,14.0,9.0,17.0,13.0,21.0,17.0,13.0,13.0,12.0,14.0,18.0,11.0,17.0,16.0,11.0,8.0,14.0,13.0,11.0,17.0,19.0,8.0,18.0,17.0,17.0,18.0,12.0,21.0,15.0,19.0,15.0,14.0,11.0
ME-01031500,21.0,27.0,35.0,22.0,31.0,19.0,29.0,26.0,23.0,31.0,19.0,37.0,28.0,26.0,19.0,23.0,23.0,33.0,23.0,24.0,27.0,17.0,12.0,23.0,26.0,23.0,28.0,32.0,22.0,24.0,33.0,24.0,29.0,35.0,28.0,27.0,30.0,24.0,23.0,25.0
ME-01047000,29.0,27.0,36.0,20.0,32.0,24.0,28.0,24.0,22.0,32.0,22.0,35.0,30.0,35.0,26.0,23.0,24.0,32.0,30.0,25.0,34.0,25.0,18.0,28.0,28.0,26.0,28.0,37.0,26.0,31.0,33.0,30.0,28.0,33.0,30.0,30.0,33.0,27.0,25.0,35.0
ME-01054200,28.0,29.0,39.0,30.0,38.0,24.0,28.0,30.0,28.0,33.0,27.0,42.0,36.0,41.0,27.0,33.0,27.0,34.0,38.0,33.0,35.0,31.0,25.0,31.0,32.0,32.0,32.0,41.0,26.0,34.0,44.0,29.0,27.0,32.0,37.0,38.0,33.0,35.0,30.0,33.0
ME-01055000,28.0,32.0,39.0,30.0,39.0,27.0,33.0,35.0,31.0,34.0,36.0,44.0,34.0,34.0,27.0,34.0,35.0,32.0,31.0,36.0,40.0,35.0,21.0,34.0,34.0,33.0,34.0,36.0,30.0,41.0,44.0,34.0,34.0,39.0,37.0,37.0,36.0,32.0,36.0,37.0
ME-01057000,31.0,29.0,35.0,31.0,32.0,28.0,30.0,27.0,26.0,35.0,25.0,31.0,29.0,31.0,23.0,20.0,28.0,34.0,31.0,28.0,29.0,26.0,18.0,31.0,27.0,30.0,29.0,35.0,23.0,30.0,36.0,29.0,30.0,36.0,34.0,30.0,29.0,29.0,27.0,27.0
ME-01AD002,16.0,19.0,21.0,16.0,17.0,16.0,17.0,24.0,21.0,20.0,14.0,21.0,14.0,20.0,20.0,17.0,16.0,23.0,14.0,16.0,22.0,15.0,14.0,14.0,20.0,21.0,23.0,22.0,19.0,15.0,22.0,21.0,20.0,23.0,19.0,20.0,,,,
MI-04040500,16.0,20.0,19.0,18.0,16.0,12.0,20.0,9.0,23.0,16.0,15.0,19.0,19.0,20.0,16.0,22.0,21.0,18.0,12.0,16.0,15.0,17.0,16.0,17.0,13.0,17.0,19.0,11.0,13.0,14.0,15.0,19.0,18.0,15.0,17.0,15.0,13.0,18.0,25.0,18.0
MI-04043050,24.0,18.0,26.0,22.0,19.0,23.0,23.0,18.0,26.0,24.0,15.0,26.0,19.0,18.0,19.0,23.0,25.0,21.0,13.0,18.0,22.0,15.0,21.0,18.0,17.0,21.0,16.0,16.0,24.0,15.0,20.0,22.0,19.0,20.0,20.0,19.0,21.0,32.0,30.0,20.0
MI-04045500,7.0,7.0,10.0,8.0,9.0,11.0,7.0,7.0,11.0,5.0,7.0,9.0,5.0,12.0,12.0,10.0,7.0,12.0,8.0,10.0,9.0,4.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,11.0,12.0,10.0,7.0,5.0,9.0,10.0,7.0
MI-04056500,12.0,9.0,9.0,8.0,7.0,11.0,7.0,4.0,9.0,6.0,7.0,8.0,7.0,12.0,13.0,7.0,13.0,10.0,6.0,8.0,7.0,5.0,12.0,12.0,11.0,12.0,8.0,8.0,9.0,6.0,9.0,12.0,11.0,9.0,7.0,7.0,6.0,10.0,14.0,9.0
MI-04057510,22.0,16.0,15.0,20.0,15.0,22.0,16.0,12.0,21.0,12.0,15.0,14.0,16.0,18.0,21.0,17.0,24.0,21.0,17.0,11.0,14.0,20.0,18.0,22.0,18.0,22.0,13.0,16.0,19.0,10.0,10.0,17.0,17.0,12.0,15.0,19.0,16.0,18.0,27.0,19.0
MI-04057800,21.0,19.0,16.0,26.0,20.0,17.0,23.0,13.0,27.0,19.0,15.0,25.0,19.0,21.0,20.0,22.0,24.0,16.0,16.0,15.0,21.0,20.0,19.0,23.0,17.0,16.0,18.0,15.0,21.0,15.0,14.0,20.0,16.0,18.0,18.0,19.0,19.0,23.0,26.0,20.0
